title,movie_id,imdb_median_score,rt_rotten_score,rt_audience_score,release_date,dates
Dune,1160419,9.0,83,90,3 September 2021,2021-09-03
No Time to Die,2382320,8.0,84,88,28 September 2021,2021-09-28
Venom: Let There Be Carnage,7097896,7.0,60,84,14 September 2021,2021-09-14
Birds of Prey,7713068,6.0,79,78,25 January 2020,2020-01-25
Star Wars: Episode IX - The Rise of Skywalker,2527338,7.0,52,86,16 December 2019,2019-12-16
Cats,5697572,2.0,20,53,16 December 2019,2019-12-16
Knives Out,8946378,8.0,97,92,7 September 2019,2019-09-07
Fast & Furious Presents: Hobbs & Shaw,6806448,7.0,67,88,13 July 2019,2019-07-13
Once Upon a Time... In Hollywood,7131622,8.0,85,70,21 May 2019,2019-05-21
Spider-Man: Far from Home,6320628,8.0,90,95,26 June 2019,2019-06-26
John Wick: Chapter 3 - Parabellum,6146586,8.0,89,86,15 May 2019,2019-05-15
Avengers: Endgame,4154796,9.0,94,90,22 April 2019,2019-04-22
Us,6857112,7.0,93,59,8 March 2019,2019-03-08
Captain Marvel,4154664,7.0,79,45,27 February 2019,2019-02-27
